Player,Original_Position,AI_Top_Positions,Adaptability_Score
K. Koulibaly,CB,"CB, RB, LB, CDM, CF",1
V. van Dijk,CB,"CB, CDM, RB, CM, CAM",1
S. Agüero,ST,"ST, LW, CAM, RW, CF",1
M. Neuer,GK,"GK, CM, ST, CB, CDM",1
E. Cavani,ST,"ST, RM, CAM, CM, LW",1
T. Courtois,GK,"GK, CB, CAM, CDM, CF",1
M. ter Stegen,GK,"GK, CB, CAM, CDM, CF",1
M. Škriniar,CB,"CB, LB, CAM, CDM, CF",1
Fernandinho,CDM,"CM, LB, CDM, RB, CB",0
G. Higuaín,ST,"ST, RM, CAM, CF, CM",1
J. Vertonghen,CB,"CB, LB, RB, CM, CDM",1
Marcelo,LB,"LB, RB, CM, RM, ST",1
T. Alderweireld,CB,"CB, RB, CDM, CM, LB",1
Jordi Alba,LB,"LB, RB, CM, CF, CDM",1
C. Immobile,ST,"ST, LM, RM, LW, CAM",1
K. Navas,GK,"GK, CB, CAM, CDM, CF",1
Casemiro,CDM,"CDM, CB, CM, LB, RB",1
M. Icardi,ST,"ST, LM, RM, CF, CAM",1
Kepa,GK,"GK, CB, CAM, CDM, CF",1
Fabinho,CDM,"LB, RB, CB, CM, CDM",0
T. Werner,ST,"ST, LW, RM, LM, CAM",1
N. Süle,CB,"CB, CDM, RB, CF, CM",1
Alex Telles,LB,"LB, RB, CDM, CM, CF",1
J. Giménez,CB,"CB, CDM, CAM, CF, CM",1
N. Fekir,CAM,"CAM, ST, LM, LW, RM",1
D. Sánchez,CB,"CB, LB, CDM, RB, CAM",1
Z. Ibrahimović,ST,"ST, LW, CAM, CM, CF",1
Jorginho,CM,"CM, CDM, LB, RB, CF",1
M. Kovačić,CM,"CM, LB, CAM, CDM, RM",1
Felipe,CB,"CB, CDM, CAM, CF, CM",1
Y. Carrasco,LM,"LW, ST, CAM, RM, LM",0
A. Romagnoli,CB,"CB, LB, RB, CDM, CAM",1
João Cancelo,RB,"RB, LB, CM, CDM, RM",1
Anderson Talisca,CAM,"ST, LM, CM, CAM, RM",0
J. Tah,CB,"CB, CDM, CM, CAM, CF",1
C. Lenglet,CB,"CB, CDM, CM, LB, RB",1
Pau López,GK,"GK, RM, ST, CDM, CF",1
Malcom,RW,"ST, CAM, LW, LM, RM",0
Raphaelito Anjos,GK,"GK, CB, CAM, CDM, CF",1
Arthur,CM,"CM, LB, CAM, CDM, RB",1
N. Gaitán,CAM,"CAM, RM, LM, LW, ST",1
M. Arnautović,ST,"ST, CAM, LW, CB, RM",1
G. Sigurðsson,CAM,"CAM, CM, CF, ST, RB",1
P. Gulácsi,GK,"GK, CB, CAM, CDM, CF",1
M. Balotelli,ST,"ST, RM, CAM, CF, CM",1
Marlos,RM,"RM, LM, ST, LW, CAM",1
S. Zaza,ST,"ST, CM, RM, CAM, LM",1
S. Vrsaljko,RB,"LB, RB, CDM, CB, CM",0
B. Mendy,LB,"LB, RB, CB, CDM, CAM",1
M. Nastasić,CB,"CB, CDM, CAM, CF, CM",1
Gerard Moreno,ST,"ST, LM, RM, CAM, CF",1
A. Onana,GK,"GK, CB, CAM, CDM, CF",1
F. Balbuena,CB,"CB, CAM, CDM, CF, CM",1
André Silva,ST,"ST, RM, CDM, LM, CF",1
Odriozola,RB,"RB, LB, CM, CB, LM",1
M. Gómez,ST,"ST, CB, CAM, CF, CM",1
J. Mathieu,CB,"CB, LB, RB, CDM, CAM",1
J. Matip,CB,"CB, CDM, RB, CM, CAM",1
M. Ryan,GK,"GK, CB, CAM, CDM, CF",1
V. Aboubakar,ST,"ST, RM, CAM, CF, CM",1
L. Muriel,ST,"ST, LM, LW, CF, CAM",1
Ismaily,LB,"LB, RB, CM, RWB, LW",1
A. Mandi,CB,"CB, RB, LB, CM, CDM",1
C. Tătăruşanu,GK,"GK, CB, CAM, CDM, CF",1
J. Murillo,CB,"CB, LB, RB, CM, CDM",1
J. Butland,GK,"GK, CB, CAM, CDM, CF",1
S. Sorrentino,GK,"GK, CB, CAM, CDM, CF",1
W. Rooney,ST,"ST, CAM, CM, CF, CDM",1
Moyá,GK,"GK, CB, CAM, CDM, CF",1
L. López,ST,"ST, RM, CAM, LM, LW",1
Diego López,GK,"GK, CB, CAM, CDM, CF",1
Juanfran,RB,"RB, LB, CDM, CM, CB",1
I. Denisov,CDM,"CDM, CM, LB, RB, CAM",1
I. Akinfeev,GK,"GK, CB, CAM, CDM, CF",1
A. Gignac,ST,"ST, CAM, LB, LM, LW",1
A. Granqvist,CB,"CB, CM, RB, CDM, CAM",1
Dante,CB,"CB, CDM, RB, CF, CM",1
L. Perrin,CB,"CB, CDM, RB, LB, CAM",1
M. Dabbur,ST,"ST, CB, CAM, CF, CM",1
Óliver Torres,CM,"CM, RB, CDM, LB, RM",1
